no;female;male;foreign_born;age;education;real_wage;ln_real_wage
1;0;1;1;52;high.school;8.499999859;2.140066147
2;1;0;1;46;high.school;NA;NA
3;1;0;1;31;high.school;12.17999922;2.499795198
4;0;1;1;35;high.school;15.00000075;2.708050251
5;0;1;0;19;high.school;8.000000046;2.079441547
6;1;0;1;50;LTHS;NA;NA
7;0;1;1;33;LTHS;10.00000032;2.302585125
8;0;1;1;43;high.school;NA;NA
9;1;0;1;39;high.school;20.68999913;3.02965045
10;0;1;0;22;some.college;11.0000007;2.397895336
11;0;1;0;28;college;NA;NA
12;1;0;1;31;college;33.15000418;3.501042843
13;1;0;1;30;college;33.15000418;3.501042843
14;1;0;0;20;some.college;8.250000655;2.11021328
15;0;1;1;63;high.school;16.74999965;2.818398237
16;0;1;0;26;some.college;11.52499974;2.444518566
17;0;1;0;23;some.college;16.79000242;2.820783615
18;0;1;1;20;high.school;NA;NA
19;0;1;1;55;high.school;44.39000307;3.793014288
20;1;0;1;46;LTHS;14.00000096;2.639057398
21;0;1;1;39;high.school;NA;NA
22;1;0;1;38;high.school;12.00000028;2.484906673
23;1;0;1;41;some.college;25.50000008;3.238678455
24;1;0;0;21;some.college;8.250000655;2.11021328
25;0;1;1;23;some.college;NA;NA
26;1;0;0;30;some.college;15.00000075;2.708050251
27;1;0;0;41;some.college;12.99999892;2.564949274
28;0;1;0;19;high.school;9.000000357;2.197224617
29;0;1;0;39;college;24.0382486;3.179646254
30;1;0;0;40;advanced.degree;28.84600125;3.361971378
31;1;0;0;19;high.school;8.250000655;2.11021328
32;1;0;1;23;some.college;11.0000007;2.397895336
33;1;0;1;51;LTHS;14.00000096;2.639057398
34;0;1;1;49;college;37.99999837;3.637586117
35;1;0;0;47;high.school;18.99999915;2.944438934
36;0;1;0;24;high.school;14.00000096;2.639057398
37;1;0;1;47;high.school;7.50000036;2.014903069
38;1;0;0;19;high.school;7.250000199;1.981001496
39;0;1;1;42;advanced.degree;80.479991;4.388008595
40;0;1;1;31;high.school;NA;NA
41;1;0;1;49;some.college;NA;NA
42;1;0;0;21;some.college;11.12999957;2.409644127
43;1;0;1;45;LTHS;11.0000007;2.397895336
44;0;1;1;23;LTHS;10.00000032;2.302585125
45;0;1;1;25;LTHS;15.00000075;2.708050251
46;1;0;0;36;high.school;15.00000075;2.708050251
47;0;1;0;44;advanced.degree;NA;NA
48;1;0;1;39;LTHS;14.00000096;2.639057398
49;0;1;1;38;LTHS;21.5299993;3.069447279
50;0;1;1;33;high.school;12.55999925;2.530517101
51;1;0;1;33;high.school;12.17999922;2.499795198
52;1;0;0;39;high.school;16.99999975;2.833213329
53;0;1;1;36;high.school;21.5299993;3.069447279
54;1;0;1;45;high.school;8.000000046;2.079441547
55;0;1;1;33;some.college;14.1999987;2.653241873
56;0;1;1;38;high.school;10.00000032;2.302585125
57;0;1;1;46;high.school;NA;NA
58;0;1;0;36;high.school;15.00000075;2.708050251
59;1;0;1;39;high.school;10.00000032;2.302585125
60;0;1;1;47;high.school;NA;NA
61;0;1;0;28;high.school;35.49999774;3.569532633
62;0;1;0;51;some.college;19.72000149;2.981633425
63;0;1;0;53;LTHS;22.00000144;3.091042519
64;0;1;1;48;high.school;12.99999892;2.564949274
65;0;1;0;33;advanced.degree;48.07680678;3.872799873
66;1;0;1;32;high.school;9.000000357;2.197224617
67;0;1;1;31;LTHS;19.23074968;2.956510544
68;0;1;1;31;high.school;15.09999992;2.714694738
69;0;1;1;34;LTHS;12.00000028;2.484906673
70;0;1;1;54;LTHS;10.50000088;2.351375341
71;0;1;1;34;high.school;11.25000074;2.420368195
72;1;0;1;27;LTHS;8.000000046;2.079441547
73;0;1;1;61;LTHS;10.50000088;2.351375341
74;1;0;1;61;high.school;9.249998984;2.224623442
75;1;0;0;30;some.college;18.00000075;2.890371799
76;0;1;1;41;LTHS;8.000000046;2.079441547
77;1;0;1;43;LTHS;8.75000081;2.169053793
78;0;1;1;22;college;12.00000028;2.484906673
79;1;0;0;31;high.school;11.75000139;2.463853359
80;0;1;0;29;some.college;10.00000032;2.302585125
81;0;1;1;39;LTHS;16.00000012;2.77258873
82;1;0;1;44;high.school;20.00000068;2.995732307
83;0;1;1;39;high.school;15.00000075;2.708050251
84;0;1;1;43;high.school;10.00000032;2.302585125
85;0;1;1;70;LTHS;13.94999919;2.63547945
86;0;1;0;52;college;33.65374986;3.516124487
87;1;0;1;50;high.school;9.615248736;2.263350248
88;1;0;0;21;some.college;9.499999556;2.251291752
89;1;0;0;18;LTHS;8.250000655;2.11021328
90;0;1;1;41;advanced.degree;48.07680678;3.872799873
91;0;1;1;42;LTHS;12.98075015;2.563467503
92;0;1;0;42;college;34.61520121;3.544292927
93;0;1;1;41;advanced.degree;38.45000205;3.649358749
94;0;1;0;42;high.school;NA;NA
95;1;0;0;42;some.college;8.000000046;2.079441547
96;0;1;0;41;college;45.67299552;3.821507215
97;1;0;0;46;college;19.7114981;2.981202126
98;0;1;0;48;some.college;16.50000134;2.803360462
99;0;1;0;29;some.college;16.99999975;2.833213329
100;1;0;1;42;high.school;10.50000088;2.351375341
101;1;0;0;20;some.college;10.52083225;2.353357315
102;1;0;0;45;some.college;20.00000068;2.995732307
103;0;1;0;51;high.school;35.00000337;3.555348158
104;0;1;1;32;LTHS;6.99999963;1.945910096
105;0;1;0;39;some.college;16.34600003;2.793983221
106;1;0;0;54;high.school;19.23074968;2.956510544
107;0;1;1;34;high.school;NA;NA
108;1;0;1;28;high.school;8.250000655;2.11021328
109;1;0;1;36;LTHS;5.400000159;1.686398983
110;0;1;1;43;college;16.82500147;2.822865963
111;1;0;1;64;high.school;12.99999892;2.564949274
112;1;0;1;35;some.college;8.499999859;2.140066147
113;1;0;0;31;advanced.degree;22.50000153;3.113515377
114;0;1;1;50;some.college;15.00000075;2.708050251
115;1;0;0;57;high.school;15.49999898;2.740839958
116;0;1;0;39;some.college;8.250000655;2.11021328
117;0;1;0;37;LTHS;12.51162904;2.526658535
118;1;0;1;58;LTHS;8.000000046;2.079441547
119;1;0;1;55;LTHS;NA;NA
120;1;0;1;39;high.school;8.250000655;2.11021328
121;0;1;1;39;high.school;10.00000032;2.302585125
122;0;1;1;32;high.school;20.00000068;2.995732307
123;1;0;0;25;college;13.26899862;2.585430384
124;1;0;0;25;some.college;9.000000357;2.197224617
125;0;1;1;36;college;34.26563548;3.534142971
126;0;1;1;21;college;19.23072676;2.956509352
127;1;0;0;24;college;17.9486658;2.887515783
128;0;1;1;60;LTHS;12.00000028;2.484906673
129;0;1;1;26;college;8.75000081;2.169053793
130;1;0;1;27;high.school;7.50000036;2.014903069
131;1;0;1;49;advanced.degree;NA;NA
132;1;0;0;17;LTHS;15.00000075;2.708050251
133;0;1;1;54;LTHS;9.000000357;2.197224617
134;1;0;1;56;LTHS;9.230499821;2.222513199
135;1;0;1;28;some.college;4.849999771;1.578978658
136;0;1;1;57;LTHS;8.250000655;2.11021328
137;0;1;0;26;LTHS;15.00000075;2.708050251
138;1;0;1;45;some.college;12.00000028;2.484906673
139;0;1;1;45;LTHS;NA;NA
140;0;1;0;37;college;28.84600125;3.361971378
141;0;1;0;28;some.college;15.37499958;2.732742786
142;0;1;1;39;some.college;25.0000015;3.218875885
143;1;0;1;42;some.college;9.885714417;2.291090727
144;0;1;1;26;LTHS;12.99999892;2.564949274
145;0;1;1;54;LTHS;9.000000357;2.197224617
146;0;1;0;43;high.school;37.50000293;3.624341011
147;0;1;0;18;high.school;8.499999859;2.140066147
148;0;1;0;22;LTHS;6.99999963;1.945910096
149;0;1;0;46;some.college;18.00000075;2.890371799
150;1;0;0;71;college;18.00000075;2.890371799
151;0;1;0;50;high.school;21.63450128;3.074289322
152;1;0;1;42;high.school;12.00000028;2.484906673
153;1;0;0;22;some.college;12.82033144;2.551032305
154;0;1;0;20;some.college;9.000000357;2.197224617
155;0;1;0;33;high.school;41.52000288;3.726175308
156;0;1;1;40;LTHS;23.00000037;3.135494232
157;1;0;0;32;high.school;7.50000036;2.014903069
158;0;1;0;30;some.college;50.0000031;3.912023067
159;0;1;1;35;LTHS;16.99999975;2.833213329
160;1;0;0;71;high.school;14.37500058;2.665490627
161;1;0;1;29;some.college;12.00000028;2.484906673
162;0;1;1;24;high.school;8.333333669;2.120263577
163;0;1;0;29;some.college;26.0599978;3.260401487
164;1;0;1;26;LTHS;8.250000655;2.11021328
165;0;1;1;33;LTHS;9.375000696;2.238046646
166;0;1;1;34;LTHS;8.699999129;2.163322926
167;0;1;1;67;LTHS;12.01900106;2.486488819
168;0;1;0;22;high.school;12.50000073;2.525728703
169;0;1;0;40;some.college;17.30749741;2.851139784
170;1;0;0;26;college;38.45000205;3.649358749
171;1;0;1;36;college;NA;NA
172;0;1;1;47;high.school;NA;NA
173;1;0;1;69;some.college;12.50000073;2.525728703
174;0;1;1;37;LTHS;10.00000032;2.302585125
175;1;0;0;26;some.college;17.09999936;2.839078426
176;0;1;0;26;some.college;21.95000331;3.08876729
177;1;0;0;32;advanced.degree;9.230601055;2.222524166
178;0;1;1;45;high.school;15.00000075;2.708050251
179;0;1;1;45;LTHS;28.05000097;3.333988667
180;0;1;0;22;high.school;12.99999892;2.564949274
181;1;0;0;26;college;12.00000028;2.484906673
182;0;1;1;55;some.college;16.82675053;2.822969913
183;1;0;1;51;some.college;17.50000165;2.862200975
184;0;1;0;31;advanced.degree;16.48342825;2.802355528
185;0;1;0;33;some.college;25.0000015;3.218875885
186;0;1;1;41;high.school;18.99999915;2.944438934
187;1;0;1;37;high.school;12.00000028;2.484906673
188;0;1;1;44;high.school;12.50000073;2.525728703
189;0;1;0;34;high.school;18.90000177;2.939162016
190;1;0;0;34;high.school;10.00000032;2.302585125
191;0;1;1;31;high.school;15.00000075;2.708050251
192;0;1;1;22;high.school;15.00000075;2.708050251
193;1;0;0;50;LTHS;7.349999996;1.994700313
194;0;1;1;60;high.school;10.00000032;2.302585125
195;1;0;1;21;some.college;12.99999892;2.564949274
196;0;1;1;38;high.school;8.250000655;2.11021328
197;0;1;1;43;some.college;40.00000143;3.68887949
198;0;1;0;33;high.school;21.63450128;3.074289322
199;0;1;0;21;high.school;8.499999859;2.140066147
200;1;0;0;18;LTHS;7.50000036;2.014903069
201;0;1;0;45;college;NA;NA
202;0;1;1;30;LTHS;23.55749653;3.159444094
203;1;0;0;21;some.college;11.0000007;2.397895336
204;0;1;1;51;LTHS;10.00000032;2.302585125
205;0;1;1;22;LTHS;9.599999975;2.261763096
206;0;1;1;48;LTHS;9.499999556;2.251291752
207;0;1;1;19;LTHS;7.250000199;1.981001496
208;0;1;1;41;LTHS;12.00000028;2.484906673
209;1;0;1;40;LTHS;8.000000046;2.079441547
210;0;1;1;26;advanced.degree;10.00000032;2.302585125
211;1;0;1;23;high.school;16.00000012;2.77258873
212;1;0;1;27;advanced.degree;27.11000038;3.299902678
213;0;1;0;29;high.school;9.499999556;2.251291752
214;0;1;1;34;high.school;9.499999556;2.251291752
215;0;1;1;61;LTHS;9.000000357;2.197224617
216;0;1;1;27;some.college;15.00000075;2.708050251
217;0;1;1;21;LTHS;14.00000096;2.639057398
218;0;1;0;33;some.college;15.00000075;2.708050251
219;0;1;1;39;LTHS;14.00000096;2.639057398
220;1;0;0;41;LTHS;11.0000007;2.397895336
221;0;1;1;85;LTHS;8.499999859;2.140066147
222;0;1;1;18;LTHS;8.250000655;2.11021328
223;1;0;1;22;high.school;8.250000655;2.11021328
224;1;0;1;40;high.school;9.499999556;2.251291752
225;0;1;1;50;high.school;12.99999892;2.564949274
226;1;0;0;35;college;30.00000155;3.401197433
227;1;0;1;52;advanced.degree;NA;NA
228;0;1;1;35;high.school;22.00000144;3.091042519
229;1;0;1;22;high.school;15.00000075;2.708050251
230;0;1;1;39;LTHS;24.34999938;3.192531824
231;0;1;1;29;high.school;9.000000357;2.197224617
232;1;0;1;21;some.college;10.00000032;2.302585125
233;0;1;1;54;high.school;12.99999892;2.564949274
234;1;0;1;27;high.school;10.00000032;2.302585125
235;0;1;1;23;high.school;10.00000032;2.302585125
236;1;0;1;30;some.college;44.00000296;3.784189701
237;0;1;1;31;high.school;NA;NA
238;0;1;1;20;LTHS;7.50000036;2.014903069
239;1;0;1;52;high.school;11.0000007;2.397895336
240;0;1;0;33;some.college;32.0000003;3.465735912
241;0;1;0;29;high.school;14.00000096;2.639057398
242;1;0;1;40;high.school;9.000000357;2.197224617
243;1;0;1;18;high.school;4.50000017;1.504077435
244;0;1;1;55;high.school;10.00000032;2.302585125
245;0;1;1;45;high.school;9.000000357;2.197224617
246;1;0;1;27;high.school;8.250000655;2.11021328
247;0;1;1;27;high.school;8.250000655;2.11021328
248;1;0;1;21;high.school;8.250000655;2.11021328
249;0;1;1;57;some.college;27.2799984;3.306153774
250;1;0;1;48;college;13.9422519;2.634923935
251;0;1;1;45;some.college;10.57674873;2.358658075
252;0;1;1;43;college;42.30760027;3.744966745
253;1;0;0;35;some.college;43.2500045;3.766997337
254;0;1;0;32;high.school;21.00000181;3.044522524
255;0;1;0;40;some.college;67.06665972;4.205687046
256;1;0;0;28;college;7.250000199;1.981001496
257;1;0;1;40;advanced.degree;52.44999948;3.959860325
258;1;0;1;40;high.school;12.00000028;2.484906673
259;0;1;0;26;some.college;12.99999892;2.564949274
260;0;1;1;26;college;9.000000357;2.197224617
261;1;0;1;45;high.school;12.00000028;2.484906673
262;0;1;1;49;LTHS;7.916666363;2.068970203
263;0;1;0;24;LTHS;10.00000032;2.302585125
264;0;1;0;23;high.school;8.75000081;2.169053793
265;0;1;1;30;high.school;6.00000013;1.791759491
266;0;1;1;49;LTHS;8.250000655;2.11021328
267;0;1;0;20;some.college;8.250000655;2.11021328
268;0;1;0;35;college;15.00000075;2.708050251
269;0;1;1;28;some.college;11.0000007;2.397895336
270;1;0;1;39;high.school;8.499999859;2.140066147
271;0;1;0;43;some.college;33.84599863;3.521820784
272;1;0;1;61;some.college;11.0000007;2.397895336
273;1;0;1;27;college;20.00000068;2.995732307
274;1;0;1;52;college;10.30000131;2.332144022
275;1;0;1;24;some.college;14.00000096;2.639057398
276;0;1;1;34;high.school;8.250000655;2.11021328
277;1;0;1;29;LTHS;9.000000357;2.197224617
278;0;1;1;27;college;10.00000032;2.302585125
279;1;0;1;34;college;NA;NA
280;0;1;0;28;high.school;8.250000655;2.11021328
281;1;0;0;24;high.school;2.579999928;0.947789371
282;0;1;1;40;LTHS;NA;NA
283;0;1;1;48;LTHS;5.759999926;1.750937462
284;0;1;1;33;high.school;18.00000075;2.890371799
285;1;0;0;42;college;25.0000015;3.218875885
286;0;1;0;23;college;13.70000062;2.617395878
287;1;0;0;16;LTHS;8.499999859;2.140066147
288;0;1;1;47;some.college;21.62500221;3.073850155
289;1;0;1;45;high.school;8.499999859;2.140066147
290;1;0;0;21;high.school;9.000000357;2.197224617
291;0;1;1;32;some.college;11.0000007;2.397895336
292;0;1;1;68;high.school;8.250000655;2.11021328
293;1;0;1;28;high.school;12.50000073;2.525728703
294;1;0;1;40;high.school;15.00000075;2.708050251
295;1;0;0;36;some.college;20.00000068;2.995732307
296;1;0;0;25;some.college;18.99999915;2.944438934
297;0;1;0;41;some.college;32.20000169;3.471966505
298;1;0;0;24;some.college;8.000000046;2.079441547
299;1;0;1;44;LTHS;10.00000032;2.302585125
300;1;0;0;59;high.school;8.250000655;2.11021328
301;1;0;0;49;some.college;24.00000061;3.178053856
302;0;1;1;32;some.college;19.23074968;2.956510544
303;1;0;0;32;high.school;10.00000032;2.302585125
304;1;0;0;29;high.school;14.00000096;2.639057398
305;1;0;1;60;some.college;8.430000547;2.131796837
306;1;0;1;25;high.school;8.75000081;2.169053793
307;0;1;1;23;LTHS;7.749999476;2.047692776
308;1;0;1;23;high.school;10.00000032;2.302585125
309;0;1;1;31;LTHS;10.00000032;2.302585125
310;1;0;1;32;LTHS;10.00000032;2.302585125
311;1;0;1;35;LTHS;11.53846069;2.445685863
312;0;1;1;43;LTHS;10.00000032;2.302585125
313;0;1;0;17;LTHS;8.250000655;2.11021328
314;0;1;1;36;high.school;8.300000058;2.116255522
315;0;1;1;56;LTHS;16.00000012;2.77258873
316;0;1;1;28;LTHS;12.00000028;2.484906673
317;0;1;1;30;LTHS;9.000000357;2.197224617
318;0;1;0;33;advanced.degree;NA;NA
319;1;0;0;40;advanced.degree;26.29411851;3.269345284
320;0;1;1;53;LTHS;10.00000032;2.302585125
321;1;0;1;44;LTHS;9.000000357;2.197224617
322;1;0;0;52;some.college;30.00000155;3.401197433
323;1;0;0;24;some.college;8.800000326;2.174751759
324;1;0;0;22;some.college;2.249999947;0.810930192
325;0;1;1;37;LTHS;9.249998984;2.224623442
326;0;1;0;58;LTHS;10.00000032;2.302585125
327;1;0;1;46;college;13.50000078;2.602689743
328;1;0;1;24;some.college;8.250000655;2.11021328
329;1;0;1;22;some.college;8.250000655;2.11021328
330;1;0;1;48;high.school;8.499999859;2.140066147
331;0;1;1;52;high.school;10.00000032;2.302585125
332;0;1;0;21;some.college;12.50000073;2.525728703
333;0;1;0;20;some.college;10.00000032;2.302585125
334;0;1;0;28;high.school;15.00000075;2.708050251
335;0;1;1;31;advanced.degree;39.42299628;3.674349308
336;1;0;0;29;advanced.degree;24.0382486;3.179646254
337;1;0;1;57;college;9.499999556;2.251291752
338;1;0;0;56;LTHS;15.00000075;2.708050251
339;1;0;0;34;LTHS;12.50000073;2.525728703
340;1;0;1;39;some.college;12.50000073;2.525728703
341;0;1;1;40;high.school;NA;NA
342;1;0;0;42;some.college;17.29999719;2.850706339
343;0;1;1;36;high.school;42.50000057;3.749504089
344;1;0;1;47;some.college;NA;NA
345;1;0;1;37;college;14.4230006;2.668824196
346;0;1;0;32;advanced.degree;31.2500027;3.442019463
347;0;1;1;45;LTHS;30.00000155;3.401197433
348;0;1;0;18;LTHS;7.250000199;1.981001496
349;0;1;0;46;college;28.83333581;3.361532211
350;1;0;0;27;advanced.degree;18.99999915;2.944438934
351;0;1;1;32;LTHS;12.99999892;2.564949274
352;0;1;1;42;college;12.99999892;2.564949274
353;0;1;1;53;LTHS;12.50000073;2.525728703
354;1;0;1;47;college;16.00000012;2.77258873
355;1;0;0;24;college;9.000000357;2.197224617
356;1;0;1;47;college;14.44999908;2.670694351
