no;female;male;foreign_born;age;education;real_wage;ln_real_wage
357;1;0;0;19;LTHS;8.499999859;2.140066147
358;0;1;0;18;LTHS;8.499999859;2.140066147
359;1;0;1;33;high.school;9.000000357;2.197224617
360;0;1;1;38;high.school;21.20000317;3.054001331
361;1;0;0;30;high.school;18.69000273;2.927988768
362;1;0;0;23;some.college;18.00000075;2.890371799
363;0;1;0;28;college;28.82499837;3.36124301
364;1;0;0;51;some.college;6.944444782;1.937942028
365;0;1;0;22;high.school;10.00000032;2.302585125
366;1;0;0;31;high.school;9.73000059;2.275213957
367;0;1;1;71;some.college;15.14999818;2.718000412
368;0;1;1;39;LTHS;8.250000655;2.11021328
369;1;0;1;24;LTHS;8.75000081;2.169053793
370;1;0;0;21;some.college;8.499999859;2.140066147
371;0;1;1;48;high.school;15.00000075;2.708050251
372;0;1;1;41;some.college;31.73066289;3.457283497
373;0;1;0;44;high.school;14.75000131;2.691243172
374;1;0;0;40;some.college;17.50000165;2.862200975
375;0;1;0;54;college;50.17499793;3.915516853
376;0;1;0;21;high.school;9.249998984;2.224623442
377;0;1;0;85;some.college;11.0000007;2.397895336
378;0;1;0;25;college;22.00000144;3.091042519
379;1;0;0;31;LTHS;15.00000075;2.708050251
380;0;1;0;32;LTHS;6.66666676;1.897119999
381;0;1;1;29;high.school;16.99999975;2.833213329
382;0;1;0;38;college;61.90767777;4.125644207
383;0;1;0;31;LTHS;NA;NA
384;1;0;0;31;LTHS;8.250000655;2.11021328
385;0;1;0;41;high.school;18.00000075;2.890371799
386;0;1;1;30;high.school;31.79999775;3.459466219
387;0;1;1;34;high.school;31.79999775;3.459466219
388;0;1;1;22;high.school;10.00000032;2.302585125
389;0;1;0;27;some.college;15.00000075;2.708050251
390;0;1;0;31;high.school;19.84999991;2.988204002
391;1;0;1;78;some.college;15.85000042;2.763169527
392;1;0;0;21;some.college;8.75000081;2.169053793
393;0;1;1;41;high.school;6.99999963;1.945910096
394;0;1;1;32;high.school;6.99999963;1.945910096
395;1;0;1;45;LTHS;12.00000028;2.484906673
396;0;1;1;25;some.college;8.000000046;2.079441547
397;1;0;0;21;some.college;13.24999915;2.583997488
398;0;1;1;53;LTHS;7.250000199;1.981001496
399;1;0;1;44;LTHS;8.499999859;2.140066147
400;1;0;0;29;high.school;2.890000074;1.061256528
401;0;1;1;58;high.school;20.17499815;3.004444122
402;1;0;0;64;high.school;13.80000008;2.624668598
403;1;0;1;43;LTHS;7.150000467;1.967112422
404;1;0;1;22;LTHS;9.350000138;2.235376358
405;1;0;0;27;some.college;5.750000072;1.749199867
406;0;1;0;26;college;22.00000144;3.091042519
407;1;0;0;56;some.college;18.5199983;2.918851137
408;1;0;0;30;advanced.degree;12.50000073;2.525728703
409;0;1;0;31;some.college;23.93155401;3.17519784
410;0;1;1;44;LTHS;18.00000075;2.890371799
411;1;0;1;44;LTHS;9.090000984;2.207175016
412;1;0;0;20;high.school;11.0000007;2.397895336
413;0;1;0;19;high.school;8.75000081;2.169053793
414;0;1;1;50;LTHS;14.83999919;2.697326183
415;0;1;0;35;LTHS;14.83999919;2.697326183
416;0;1;0;53;high.school;NA;NA
417;0;1;0;26;high.school;31.2500027;3.442019463
418;1;0;0;46;high.school;9.000000357;2.197224617
419;1;0;0;23;some.college;15.00000075;2.708050251
420;0;1;0;44;some.college;34.61525072;3.544294357
421;0;1;0;20;some.college;10.00000032;2.302585125
422;0;1;1;43;high.school;18.00000075;2.890371799
423;0;1;0;24;high.school;10.00000032;2.302585125
424;1;0;0;45;college;19.70000157;2.980618715
425;0;1;0;43;college;100.5999914;4.611152172
426;1;0;0;33;high.school;5.750000072;1.749199867
427;0;1;1;31;LTHS;8.000000046;2.079441547
428;0;1;0;50;college;22.00000144;3.091042519
429;0;1;0;39;some.college;13.88888959;2.631089211
430;1;0;1;55;LTHS;10.75000075;2.374905825
431;1;0;1;39;high.school;10.50000088;2.351375341
432;0;1;1;32;LTHS;10.00000032;2.302585125
433;0;1;1;35;some.college;24.0382486;3.179646254
434;1;0;1;55;high.school;15.00000075;2.708050251
435;0;1;0;44;some.college;16.29000002;2.790551424
436;1;0;1;33;high.school;12.00000028;2.484906673
437;1;0;0;47;some.college;25.64099916;3.2441926
438;1;0;0;22;some.college;8.000000046;2.079441547
439;1;0;0;23;some.college;7.949999407;2.073171854
440;0;1;0;22;some.college;11.0000007;2.397895336
441;1;0;1;29;high.school;14.00000096;2.639057398
442;0;1;1;28;high.school;9.000000357;2.197224617
443;0;1;0;55;high.school;38.95000461;3.662278891
444;1;0;1;32;LTHS;8.250000655;2.11021328
445;1;0;1;51;advanced.degree;46.15277558;3.831957102
446;0;1;0;25;some.college;14.4999987;2.67414856
447;0;1;0;42;LTHS;6.976744255;1.942582369
448;1;0;1;43;high.school;8.250000655;2.11021328
449;1;0;0;19;some.college;12.00000028;2.484906673
450;0;1;0;42;high.school;22.00000144;3.091042519
451;0;1;0;43;high.school;11.0000007;2.397895336
452;1;0;0;24;some.college;8.510000721;2.141242027
453;0;1;1;44;high.school;12.00000028;2.484906673
454;1;0;1;41;some.college;8.75000081;2.169053793
455;1;0;1;41;LTHS;9.499999556;2.251291752
456;0;1;1;57;LTHS;11.50000016;2.44234705
457;0;1;1;46;LTHS;16.99999975;2.833213329
458;1;0;1;49;LTHS;14.00000096;2.639057398
459;1;0;0;19;high.school;8.250000655;2.11021328
460;0;1;0;18;high.school;8.250000655;2.11021328
461;0;1;1;49;high.school;28.84600125;3.361971378
462;0;1;0;27;advanced.degree;NA;NA
463;1;0;0;31;high.school;14.4999987;2.67414856
464;0;1;0;35;high.school;19.24999783;2.957510948
465;0;1;1;34;LTHS;10.00000032;2.302585125
466;0;1;1;30;LTHS;8.250000655;2.11021328
467;1;0;0;44;some.college;19.23074968;2.956510544
468;0;1;0;25;high.school;14.4230006;2.668824196
469;1;0;0;56;high.school;27.87499858;3.327730179
470;0;1;0;56;high.school;8.850000696;2.180417538
471;0;1;0;22;high.school;8.499999859;2.140066147
472;0;1;0;46;some.college;43.26900264;3.767436504
473;1;0;0;42;some.college;24.0382486;3.179646254
474;0;1;1;27;high.school;16.50000134;2.803360462
475;0;1;1;27;high.school;16.50000134;2.803360462
476;0;1;0;31;some.college;10.50000088;2.351375341
477;0;1;1;47;college;NA;NA
478;0;1;0;26;high.school;15.00000075;2.708050251
479;1;0;0;40;some.college;12.00000028;2.484906673
480;0;1;1;50;high.school;12.44444487;2.521274328
481;1;0;0;23;college;18.00000075;2.890371799
482;1;0;0;39;some.college;12.99999892;2.564949274
483;0;1;1;43;some.college;18.00000075;2.890371799
484;1;0;0;41;LTHS;11.0000007;2.397895336
485;1;0;0;20;some.college;8.499999859;2.140066147
486;1;0;0;30;some.college;14.4230006;2.668824196
487;0;1;0;48;some.college;10.00000032;2.302585125
488;0;1;0;46;high.school;8.650000639;2.157559395
489;1;0;0;49;high.school;9.000000357;2.197224617
490;0;1;0;30;high.school;7.250000199;1.981001496
491;1;0;0;29;LTHS;10.03000014;2.305580616
492;0;1;1;57;LTHS;7.50000036;2.014903069
493;1;0;1;47;LTHS;10.00000032;2.302585125
494;0;1;0;19;high.school;12.00000028;2.484906673
495;1;0;1;29;LTHS;10.60000157;2.360854149
496;0;1;1;35;high.school;16.99999975;2.833213329
497;0;1;0;28;high.school;12.00000028;2.484906673
498;0;1;1;49;LTHS;8.250000655;2.11021328
499;0;1;1;43;LTHS;25.99999788;3.258096457
500;1;0;1;40;LTHS;18.499998;2.917770624
501;1;0;0;19;LTHS;8.000000046;2.079441547
502;0;1;0;36;advanced.degree;44.87166576;3.803806543
503;1;0;0;24;some.college;9.000000357;2.197224617
504;1;0;0;28;some.college;15.25000106;2.724579573
505;0;1;0;42;some.college;21.62500221;3.073850155
506;0;1;1;43;high.school;12.00000028;2.484906673
507;0;1;0;31;some.college;25.64099916;3.2441926
508;0;1;1;41;high.school;11.0000007;2.397895336
509;1;0;1;41;high.school;17.50000165;2.862200975
510;0;1;0;37;some.college;24.51900049;3.199448347
511;1;0;1;49;high.school;12.00000028;2.484906673
512;0;1;1;69;college;16.00000012;2.77258873
513;0;1;1;48;some.college;11.0000007;2.397895336
514;0;1;1;45;high.school;18.00000075;2.890371799
515;1;0;0;38;advanced.degree;21.25000024;3.056356907
516;0;1;1;50;LTHS;8.250000655;2.11021328
517;1;0;1;49;LTHS;8.250000655;2.11021328
518;0;1;0;51;LTHS;NA;NA
519;0;1;0;54;some.college;10.00000032;2.302585125
520;1;0;1;26;high.school;9.000000357;2.197224617
521;0;1;0;27;LTHS;11.0000007;2.397895336
522;0;1;1;31;high.school;NA;NA
523;1;0;1;29;LTHS;8.000000046;2.079441547
524;0;1;0;43;some.college;21.62500221;3.073850155
525;1;0;1;32;high.school;18.99999915;2.944438934
526;0;1;1;44;high.school;10.00000032;2.302585125
527;0;1;1;27;college;8.75000081;2.169053793
528;0;1;0;22;high.school;17.79999743;2.879198313
529;1;0;0;53;some.college;9.615248736;2.263350248
530;0;1;1;60;LTHS;21.59000204;3.072230339
531;0;1;1;32;high.school;10.00000032;2.302585125
532;1;0;0;52;college;38.45000205;3.649358749
533;0;1;0;58;high.school;4.651162753;1.537117243
534;0;1;0;56;some.college;14.00000096;2.639057398
535;0;1;0;24;college;19.22500099;2.956211567
536;0;1;0;24;college;19.22500099;2.956211567
537;0;1;1;47;LTHS;NA;NA
538;0;1;1;53;LTHS;13.50000078;2.602689743
539;0;1;1;23;LTHS;NA;NA
540;1;0;1;34;high.school;10.00000032;2.302585125
541;1;0;1;40;advanced.degree;10.00000032;2.302585125
542;0;1;1;46;high.school;15.49999898;2.740839958
543;1;0;1;43;high.school;14.59999888;2.681021452
544;0;1;0;19;some.college;15.00000075;2.708050251
545;0;1;0;32;some.college;18.00000075;2.890371799
546;0;1;1;43;high.school;35.00000337;3.555348158
547;1;0;0;41;some.college;20.00000068;2.995732307
548;0;1;0;44;some.college;31.2500027;3.442019463
549;0;1;0;30;high.school;15.00000075;2.708050251
550;0;1;0;52;some.college;9.000000357;2.197224617
551;1;0;0;25;high.school;9.615248736;2.263350248
552;1;0;1;38;some.college;12.00000028;2.484906673
553;1;0;0;22;some.college;14.4999987;2.67414856
554;0;1;1;35;high.school;20.00000068;2.995732307
555;0;1;1;55;LTHS;21.59000204;3.072230339
556;1;0;1;46;LTHS;8.250000655;2.11021328
557;0;1;1;61;LTHS;10.5199995;2.35327816
558;0;1;0;32;high.school;10.5199995;2.35327816
559;1;0;0;19;some.college;9.000000357;2.197224617
560;0;1;0;40;college;13.46149956;2.599833727
561;1;0;0;36;college;14.4230006;2.668824196
562;1;0;0;39;advanced.degree;22.00000144;3.091042519
563;0;1;0;40;college;23.91111342;3.174343348
564;1;0;1;22;high.school;9.099999554;2.208274364
565;1;0;1;61;some.college;10.00000032;2.302585125
566;1;0;1;31;college;19.23074968;2.956510544
567;1;0;0;22;high.school;16.99999975;2.833213329
568;0;1;1;36;some.college;21.50000155;3.068053007
569;1;0;0;33;high.school;18.75000143;2.931193829
570;0;1;1;39;LTHS;9.000000357;2.197224617
571;1;0;0;27;college;12.01900106;2.486488819
572;0;1;1;28;LTHS;8.499999859;2.140066147
573;0;1;1;34;LTHS;8.499999859;2.140066147
574;0;1;1;25;LTHS;8.499999859;2.140066147
575;0;1;1;38;LTHS;8.499999859;2.140066147
576;1;0;0;72;high.school;16.38999996;2.796671391
577;1;0;0;70;advanced.degree;38.45000205;3.649358749
578;0;1;0;32;high.school;14.4230006;2.668824196
579;1;0;1;30;high.school;12.50000073;2.525728703
580;1;0;1;33;high.school;12.67500071;2.539631605
581;1;0;1;49;LTHS;NA;NA
582;0;1;0;42;advanced.degree;38.46149944;3.649657726
583;0;1;1;50;LTHS;16.99999975;2.833213329
584;0;1;0;23;high.school;8.571428463;2.148434401
585;1;0;0;22;some.college;10.00000032;2.302585125
586;1;0;1;50;LTHS;10.14999944;2.31747365
587;0;1;1;40;high.school;17.14285696;2.841581583
588;1;0;0;53;college;22.00000144;3.091042519
589;1;0;0;17;LTHS;8.000000046;2.079441547
590;0;1;1;46;LTHS;NA;NA
591;1;0;0;38;some.college;10.00000032;2.302585125
592;0;1;1;26;advanced.degree;13.81999909;2.626116753
593;0;1;1;53;some.college;14.82000101;2.695977688
594;1;0;1;55;LTHS;13.50000078;2.602689743
595;1;0;1;24;high.school;9.000000357;2.197224617
596;0;1;1;21;high.school;12.00000028;2.484906673
597;0;1;1;65;some.college;25.0000015;3.218875885
598;1;0;1;64;college;20.00000068;2.995732307
599;0;1;1;20;high.school;8.12499952;2.094945669
600;0;1;1;46;LTHS;NA;NA
601;1;0;1;45;LTHS;10.00000032;2.302585125
602;0;1;1;38;some.college;16.99999975;2.833213329
603;0;1;1;36;high.school;24.00000061;3.178053856
604;1;0;1;50;high.school;14.40000022;2.667228222
605;0;1;1;60;high.school;NA;NA
606;0;1;0;35;advanced.degree;57.65256719;4.054434776
607;0;1;0;28;college;17.50000165;2.862200975
608;1;0;1;31;high.school;10.24999954;2.32727766
609;0;1;1;39;high.school;10.00000032;2.302585125
610;1;0;1;35;LTHS;36.99999608;3.610917807
611;0;1;1;67;LTHS;17.09999936;2.839078426
612;1;0;1;55;LTHS;11.69999911;2.459588766
613;1;0;1;37;college;16.66666737;2.813410759
614;0;1;1;34;LTHS;NA;NA
615;0;1;0;71;advanced.degree;73.16362589;4.292698383
616;1;0;1;65;some.college;24.0250018;3.17909503
617;0;1;1;47;high.school;34.3100004;3.535436869
618;0;1;0;33;high.school;28.82499837;3.36124301
619;1;0;0;63;LTHS;6.99999963;1.945910096
620;0;1;1;63;LTHS;15.00000075;2.708050251
621;0;1;1;40;LTHS;10.00000032;2.302585125
622;1;0;1;42;LTHS;8.800000326;2.174751759
623;0;1;1;80;college;35.57499894;3.571643114
624;0;1;0;19;some.college;12.50000073;2.525728703
625;0;1;0;53;some.college;NA;NA
626;1;0;1;30;LTHS;4.599999936;1.52605629
627;0;1;0;45;LTHS;NA;NA
628;0;1;0;42;some.college;24.0382486;3.179646254
629;0;1;1;38;LTHS;8.499999859;2.140066147
630;0;1;0;44;some.college;17.50000165;2.862200975
631;1;0;1;31;high.school;8.333333669;2.120263577
632;1;0;1;28;LTHS;4.599999936;1.52605629
633;0;1;1;21;high.school;11.533334;2.445241451
634;0;1;1;26;high.school;33.49999936;3.51154542
635;0;1;1;23;high.school;10.10000102;2.312535524
636;0;1;1;31;college;9.000000357;2.197224617
637;1;0;0;23;college;12.98075015;2.563467503
638;1;0;0;57;high.school;10.66000055;2.36649847
639;1;0;1;41;advanced.degree;40.00000143;3.68887949
640;1;0;1;32;LTHS;8.75000081;2.169053793
641;0;1;1;31;LTHS;11.50000016;2.44234705
642;1;0;1;43;high.school;16.00000012;2.77258873
643;0;1;1;48;college;20.00000068;2.995732307
644;0;1;1;69;college;9.499999556;2.251291752
645;0;1;1;61;college;8.250000655;2.11021328
646;0;1;1;61;high.school;9.000000357;2.197224617
647;0;1;1;53;some.college;16.01666758;2.773629904
648;1;0;0;53;some.college;48.07674947;3.872798681
649;1;0;1;38;LTHS;11.85000095;2.472327948
650;0;1;1;57;LTHS;14.59999888;2.681021452
651;0;1;1;39;LTHS;14.24999959;2.656756878
652;0;1;1;54;LTHS;8.499999859;2.140066147
653;0;1;1;27;LTHS;14.4999987;2.67414856
654;1;0;1;21;LTHS;7.50000036;2.014903069
655;0;1;1;43;high.school;12.00000028;2.484906673
656;0;1;1;50;some.college;23.00000037;3.135494232
657;1;0;1;45;some.college;18.99999915;2.944438934
658;0;1;0;19;some.college;8.499999859;2.140066147
659;1;0;0;17;LTHS;8.499999859;2.140066147
660;0;1;1;35;LTHS;8.499999859;2.140066147
661;0;1;0;37;some.college;14.80000154;2.694627285
662;1;0;1;47;LTHS;9.950000613;2.297572613
663;0;1;1;60;LTHS;10.00000032;2.302585125
664;1;0;0;60;LTHS;11.69999911;2.459588766
665;1;0;0;27;LTHS;12.00000028;2.484906673
666;0;1;1;48;LTHS;17.45000114;2.859339714
667;0;1;1;30;LTHS;10.80000034;2.379546165
668;0;1;1;30;LTHS;8.499999859;2.140066147
669;0;1;1;29;LTHS;9.249998984;2.224623442
670;0;1;1;53;LTHS;8.250000655;2.11021328
671;0;1;1;49;some.college;12.50000073;2.525728703
672;1;0;1;61;LTHS;NA;NA
673;0;1;1;61;some.college;NA;NA
674;0;1;0;25;some.college;18.72999835;2.930126429
675;0;1;1;46;high.school;16.10000081;2.778819323
676;0;1;1;37;college;16.99999975;2.833213329
677;0;1;1;37;LTHS;10.00000032;2.302585125
678;0;1;0;51;high.school;20.00000068;2.995732307
679;1;0;1;44;high.school;15.09999992;2.714694738
680;0;1;0;23;some.college;10.50000088;2.351375341
681;1;0;0;39;some.college;8.250000655;2.11021328
682;1;0;1;28;LTHS;8.250000655;2.11021328
683;0;1;1;31;LTHS;12.75000002;2.545531273
684;1;0;1;28;LTHS;8.250000655;2.11021328
685;1;0;1;53;high.school;20.00000068;2.995732307
686;0;1;1;57;LTHS;15.00000075;2.708050251
687;0;1;0;38;high.school;38.46139857;3.649655104
688;0;1;0;31;LTHS;18.00000075;2.890371799
689;1;0;0;22;advanced.degree;28.88888631;3.363456964
690;0;1;1;53;LTHS;24.00000061;3.178053856
691;0;1;0;31;high.school;40.00000143;3.68887949
692;0;1;1;42;advanced.degree;50.0000031;3.912023067
693;1;0;0;27;some.college;NA;NA
694;0;1;1;63;LTHS;8.000000046;2.079441547
695;1;0;0;61;LTHS;10.39999886;2.341805696
696;1;0;0;35;high.school;18.00000075;2.890371799
697;0;1;0;34;advanced.degree;11.52499974;2.444518566
698;0;1;1;46;high.school;NA;NA
699;0;1;1;40;LTHS;33.00000275;3.496507645
700;0;1;1;41;LTHS;33.00000275;3.496507645
701;1;0;0;49;advanced.degree;25.64099916;3.2441926
702;0;1;1;53;some.college;30.14999965;3.406184912
703;1;0;0;19;some.college;10.00000032;2.302585125
704;0;1;1;54;LTHS;22.00000144;3.091042519
705;1;0;0;30;some.college;10.50000088;2.351375341
706;1;0;0;22;some.college;10.00000032;2.302585125
707;0;1;1;30;high.school;23.00000037;3.135494232
708;1;0;1;77;high.school;12.00000028;2.484906673
709;0;1;1;70;high.school;20.00000068;2.995732307
710;1;0;1;55;some.college;15.00000075;2.708050251
711;0;1;1;43;high.school;15.00000075;2.708050251
712;1;0;1;39;LTHS;9.64000007;2.265921116
